feature,mean_delta_auc,std_delta_auc,mean_delta_auc_pr,std_delta_auc_pr,rank
libdem_c22_9_detrended,2.7153252959988272e-06,3.2508390348056654e-05,0.0001857942975717841,0.00014265875906579415,186
break_in_last_3yr_poly_detrended,2.7153252959988272e-06,2.7001980178428875e-05,0.0004780922258420861,0.00017503586819572962,187
libdem_c22_9,2.2204460492503132e-17,3.13538758113046e-05,0.00023238954141905355,0.00030867942095987695,188
libdem_c22_18_detrended,0.0,0.0,0.0,0.0,189
libdem_c22_19_detrended,0.0,0.0,0.0,0.0,190
poly_c22_19_detrended,0.0,0.0,0.0,0.0,191
poly_c22_19,0.0,0.0,0.0,0.0,192
era_post2015,0.0,0.0,0.0,0.0,193
libdem_c22_18,0.0,0.0,0.0,0.0,194
poly_c22_18,0.0,0.0,0.0,0.0,195
libdem_c22_19,0.0,0.0,0.0,0.0,196
poly_c22_18_detrended,0.0,0.0,0.0,0.0,197
protest_count_zscore_lag1_detrended,-2.7153252959211115e-06,6.827421949113445e-05,0.0006667659635168688,0.00041732135550906854,198
break_in_last_3yr_poly,-5.430650591886632e-06,4.9243222579657683e-05,0.0005324636325048426,3.268346983078818e-05,199
libdem_c22_10,-8.145975887829948e-06,0.00023948628639008956,-0.001876405574505835,0.0016958794965780842,200
repression_count_zscore,-1.086130118385098e-05,0.00012940202020681406,0.0005017736108277382,0.0008950351579657605,201
libdem_c22_3_detrended,-1.3576626479805399e-05,9.163524461149162e-05,0.00029752878870635823,0.0002874736103626046,202
repression_count_zscore_detrended,-1.3576626479805399e-05,0.0001971599590057256,-0.00020627992672764828,0.0040386403882481025,203
break_in_last_3yr_libdem_detrended,-1.3576626479838706e-05,2.638821863275095e-05,-3.614055669596272e-05,6.759336629390004e-05,204
conflict_count_zscore_lag1_detrended,-1.900727707174754e-05,8.100594053530483e-05,0.00015632074283372654,0.0006468756389074773,205
poly_c22_12,-1.9007277071758643e-05,0.00011088963575389957,-0.00016184285841930324,0.0006465657827356227,206
protest_count_zscore,-2.7153252959666308e-05,9.318661653257091e-05,0.00023227346418109863,0.00033554591481191353,207
v2smfordom,-2.9868578255631827e-05,0.0006495942470876412,0.004308808465196168,0.004197906189316155,208
conflict_count_zscore_detrended,-4.3445204735470536e-05,7.034270746071963e-05,0.0003671011239340105,0.000451489336066096,209
n_backsliding_neighbors,-4.616053003143605e-05,5.285399268909687e-05,-5.018679803729942e-05,0.00024515000072069474,210
global_exposure_libdem,-4.887585532742378e-05,0.00019148980184075987,-0.0004658564061530646,0.001303758639910025,211
mil_growth,-5.15911806233893e-05,0.00022625900510475739,0.0014178511371753856,0.0012113431736800696,212
n_backsliding_neighbors_detrended,-5.430650591937702e-05,6.400083099693477e-05,1.0665420957955973e-05,0.0002732928139672878,213
election_vulnerability_delta1,-5.9737156511296965e-05,0.00016630366862686608,0.0014832417111088736,0.0022779859345294093,214
libdem_c22_17,-7.059845769515904e-05,0.0006744363720817681,5.8730471758750014e-05,0.0022274073586566554,215
repression_count_zscore_lag1_detrended,-7.874443358307781e-05,0.00014952106392802323,-4.318933090474708e-06,0.0010225577293813703,216
election_within_2yr_detrended,-8.417508417506437e-05,3.493765443977355e-05,-8.472009424725924e-05,7.346163482857147e-05,217
v2smgovfilprc_detrended,-9.232106006292761e-05,0.0002579797206605923,0.001422823283829422,0.0010729805399583509,218
csd_index_delta1,-0.00010861301183874294,8.681495100310232e-05,0.0009650058914970949,0.0015976882879793245,219
v2smgovfilprc,-0.00011947431302263833,0.00039705282004171076,0.0015274131489791177,0.0016912420672916242,220
libdem_c22_16_detrended,-0.00016291951775815328,0.0001598740245886824,-0.0012424685767688404,0.0009526975704613858,221
mil_zscore_delta2,-0.00017106549364607205,0.00056741708888698,3.896462286978597e-06,0.002636180591798842,222
mv_csd_index_detrended,-0.0003882915173237467,0.00035864457639466803,-0.0020714027863516504,0.0012861791626119826,223
mv_csd_index,-0.0006408167698489841,0.000416192438785949,-0.0034186492414076675,0.002734539083232889,224
v2exl_legitideol_detrended,-0.000972086455957355,0.0006629942432591877,-7.679593173800514e-05,0.002234414590070113,225
v2exl_legitlead,-0.0012707722385141395,0.0007569217858845192,0.0018463976981067832,0.002142745087486612,226
v2exl_legitlead_detrended,-0.0013902465515368,0.0010051839384316251,0.002661085103427574,0.007421617809675274,227
v2exl_legitideol,-0.002153252959704477,0.002643600013910705,0.0044740070658702,0.009659623971653063,228
