country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
GMB,1987,-0.006191035318657898,,0.006917043992460884,3
GNB,1987,-0.006191035318657898,,0.00650386626186595,3
GNQ,1987,-0.006191035318657898,,0.002400283616785721,3
GRC,1987,-0.006191035318657898,,0.009294005273124926,3
GTM,1987,-0.00481984212263137,,0.006995883653196575,3
GUY,1987,-0.006120736423855059,,0.0018025357641753687,3
HKG,1987,-0.006183000501115213,,0.0010043521928356212,3
HND,1987,-0.006184039435004701,,0.006995883653196575,3
HTI,1987,-0.006400911828253795,,0.006995883653196575,2
HUN,1987,-0.006142397456604691,,0.012159465513301913,3
IDN,1987,-0.006191035318657898,,0.0069661063520023644,3
IND,1987,-0.006102135280548553,,0.008890003810934452,3
IRL,1987,-0.006191035318657898,,0.008645251059480398,3
IRN,1987,-0.006191035318657898,,0.003096686216313315,3
IRQ,1987,-0.006191035318657898,,0.008568156251038204,3
ISL,1987,-0.006113228059122574,,0.008645251059480398,3
ISR,1987,-0.006156129154912639,,0.004363270468157368,3
ITA,1987,-0.006191035318657898,,0.009319014891977019,3
JAM,1987,-0.006191035318657898,,0.006995883653196575,3
JOR,1987,-0.006191035318657898,,0.00782149170486444,3
JPN,1987,-0.0061964552654448874,,0.0027099733934949684,3
KEN,1987,-0.006183975428041111,,0.0035299453083934705,3
KHM,1987,-0.006191035318657898,,0.003535794659548092,3
KOR,1987,-0.006172588645551791,,0.0020496303451229426,3
KWT,1987,-0.007483610062956083,,0.007024862740751002,2
LAO,1987,-0.006191035318657898,,0.004707719738098384,3
LBN,1987,-0.006191035318657898,,0.00782149170486444,3
LBR,1987,-0.005362149111416178,,0.007207706149928002,3
LBY,1987,-0.006191035318657898,,0.009861876715271847,3
LKA,1987,-0.006194723717902954,,0.0018441996225280518,3
LSO,1987,-0.00620557726752062,,0.0020774212661030453,3
LUX,1987,-0.006191035318657898,,0.008954193917620356,3
MAR,1987,-0.006191035318657898,,0.007296857854558483,3
MDG,1987,-0.006191035318657898,,0.0010043521928356212,3
MDV,1987,-0.006191035318657898,,0.0016942542352316931,3
MEX,1987,-0.0061770435513515045,,0.006995883653196575,3
MLI,1987,-0.006198537355193881,,0.007502036535982713,3
MLT,1987,-0.006191035318657898,,0.008955659976998804,3
MMR,1987,-0.006191035318657898,,0.005755678727066385,3
MNG,1987,-0.006191035318657898,,0.0020496303451229426,3
MOZ,1987,-0.006191035318657898,,0.007896691994888756,3
MRT,1987,-0.006191035318657898,,0.012578290489138057,3
MUS,1987,-0.0061850092055008845,,0.0010043521928356212,3
MWI,1987,-0.006191035318657898,,0.003227614386023912,3
MYS,1987,-0.006199983754674066,,0.004474218008084256,3
NAM,1987,-0.006191035318657898,,0.004521335532505279,3
NER,1987,-0.006191035318657898,,0.008463926992728426,3
NGA,1987,-0.006162274608778506,,0.007190177469848128,3
NIC,1987,-0.006170047667698308,,0.006995883653196575,3
NLD,1987,-0.006199989512575518,,0.008954193917620356,3
NOR,1987,-0.006173744816538937,,0.008645251059480398,3
NPL,1987,-0.00618596711532805,,0.002534101664924124,3
NZL,1987,-0.006191035318657898,,0.0022330033264769266,3
OMN,1987,-0.006191035318657898,,0.007024862740751002,3
PAK,1987,-0.006120769665964379,,0.005018975192394191,3
PAN,1987,-0.006191035318657898,,0.006995883653196575,3
PER,1987,-0.006184039435004701,,0.006995883653196575,3
PHL,1987,-0.005840606464002085,,0.006611865182185154,3
PNG,1987,-0.006191035318657898,,0.005167111400216862,3
POL,1987,-0.006182081124740278,,0.008954193917620356,3
PRK,1987,-0.006194860085216377,,0.0038247665584796044,3
PRT,1987,-0.006225616322895819,,0.008645251059480398,3
PRY,1987,-0.006191035318657898,,0.006995883653196575,3
PSE,1987,-0.006191035318657898,,0.0010043521928356212,3
QAT,1987,-0.006191035318657898,,0.007291739059267468,3
ROU,1987,-0.006200045337308983,,0.009010018651085645,3
RUS,1987,-0.006037187561813909,,0.019230969605498634,3
RWA,1987,-0.006191035318657898,,0.003918736269924972,3
SAU,1987,-0.006191035318657898,,0.008422235212167615,3
SDN,1987,-0.004788287718326516,,0.01149793115025723,3
SEN,1987,-0.006191035318657898,,0.006810031408909302,3
SGP,1987,-0.006164796546987163,,0.0037483959529620975,3
SLB,1987,-0.006191035318657898,,0.0021025550853284634,3
SLE,1987,-0.006119492789777373,,0.006503866261865951,3
SLV,1987,-0.006128072365779128,,0.006995883653196575,3
SOM,1987,-0.006191035318657898,,0.007992593681958302,3
SRB,1987,-0.006191035318657898,,0.009968444872048407,3
STP,1987,-0.006191035318657898,,0.0010043521928356212,3
SUR,1987,-0.006191035318657898,,0.007499469698860905,3
SWE,1987,-0.006199680569717378,,0.008645251059480398,3
SWZ,1987,-0.006191035318657898,,0.0027489368076131313,3
SYC,1987,-0.0061900309664650625,,0.0010043521928356212,3
SYR,1987,-0.006191035318657898,,0.00863539950581706,3
TCD,1987,-0.006191035318657898,,0.0033607402718547003,3
TGO,1987,-0.006191035318657898,,0.006810031408909302,3
THA,1987,-0.006227063418273649,,0.007205619923150186,3
TLS,1987,-0.006191035318657898,,0.001744682895920406,3
TTO,1987,-0.006100088831166342,,0.006995883653196575,3
TUN,1987,-0.006198340931669231,,0.007305613011332517,3
TUR,1987,-0.006065574583649503,,0.011405521364399637,3
TWN,1987,-0.006165621505129422,,0.0016942542352316931,3
TZA,1987,-0.006141952505930568,,0.007011830389618506,3
UGA,1987,-0.006444380239126802,,0.004222415341148397,2
