indicator,factor_1,factor_2,factor_3,factor_4
v2elvotbuy,0.23997666074636653,0.7613787126575104,-0.16193940360225476,-0.032792395679215554
v2elirreg,0.5358783643639392,0.6266623324556814,-0.18188573343821204,-0.06728713648925527
v2elintim,0.7915599644282206,0.33064634100592205,-0.18746284920447426,-0.008247962476917226
v2elpeace,0.24771649019854006,0.6671503269001263,0.024150574331004565,0.07381111887143879
v2elboycot,0.48732456879619673,0.42520848902325054,0.04709186655120358,-0.015757862795473462
v2elfrcamp,0.6758205701635778,0.10839190042369293,0.09825518572998614,-0.029659699928107595
v2elpdcamp,0.6685584668306515,-0.02659737653865829,0.018640493158388158,-0.010740779771120638
v2elpaidig,0.6234109334349296,-0.08664550038155,0.03340406487560692,-0.023657202954386728
v2elfrfair,0.8472576494980056,0.2785114086706373,-0.1020515902984093,-0.012985799344562947
v2elrstrct,0.07904527725849289,0.12532476699403852,-0.09056973300239562,0.019892735710175653
v2elaccept,0.6729698221530284,0.32571450074532754,-0.13751483135922482,-0.04174746645784132
v2elasmoff,0.34479140074062586,0.28079359600471293,0.2094135464503454,0.04263296698741192
v2elrsthos,0.1482327138508294,0.13269078064610623,-0.11660128147949046,-0.06329286571419247
v2elprescons,0.24027249286330754,-0.16840553239288927,0.271526521297061,0.30893591863537934
v2elprescumul,0.2559333255608808,-0.2812488797285738,0.18340129878590525,0.38666359676286405
v2ellocons,0.48257290299507005,0.40493817819368527,0.08577451899387951,-0.019675688065198493
v2ellocumul,0.5505701374259457,0.3296628379011072,0.08293437346755339,0.0538871382955696
v2elreggov,-0.07292944117438531,-0.076868668348578,0.09128435086801528,0.12029031155677589
v2ellocgov,0.10599161280562616,0.03178599410436873,0.2002971709525803,0.018212509420235563
v2ellocelc,0.5681472606817173,0.14846819978849377,0.24325121799461968,-0.0744754438996192
v2ellocpwr,0.6703765907187168,0.28571069594486015,0.08349798512184219,0.04602350710340365
v2elffelr,0.7822283704267637,0.35034376646911747,-0.10361951590939182,0.0005721791480737537
v2elffelrbin,0.39859175370670874,0.11786966692609105,0.24099642371230906,-0.06275336155033384
v2elsnlsff,0.1468069969729024,0.6628100799321874,0.005724724185448352,0.05528659256647855
v2psbars,0.9198236643279033,0.027380112255461997,0.1863639605885029,-0.03753418249564617
v2psparban,0.8860613317571668,-0.0893677314997714,0.1656826983250006,0.03347229268371843
v2psoppaut,0.9179843184677227,0.08663804782111889,0.07106973869384524,0.0049581556004153066
v2psorgs,0.6093745631589087,0.3839027257141688,0.2941104724702452,-0.07982168826331959
v2psprbrch,0.4757342447049731,0.46937181877338435,0.306929594240233,-0.03358254192094992
v2psprlnks,0.4205682878197603,0.6335737780374529,-0.0018901385713271726,-0.07482680201409402
v2psplats,0.6947916047515912,0.4154815907292958,0.1792516025803204,-0.05920676919666685
v2pscnslnl,0.609565483511048,0.1914831277585359,-0.03789361722441813,0.05871406999154076
v2pscohesv,0.002596960985251917,0.38265700191187085,0.3305735827347534,-0.23888738593616934
v2pscomprg,0.26337307051162684,0.4705954996014625,0.3157962528301508,-0.023584920251462513
v2psnatpar,-0.32481510757206167,-0.13248804311283763,0.1579893963913741,0.07491500271027648
v2pssunpar,0.8123774239143419,0.12119021404662961,-0.08155326645033376,-0.0021526850817785437
v2ddlexci,0.11874313856269264,0.10374718335693436,0.17070762699930575,0.4693202936018163
v2ddthreci,0.16131888434188285,0.19090067095160002,-0.04670386306866639,0.5531554929859913
v2ddlexrf,0.1347361086635377,0.1261835365575505,0.0495703543637499,0.4562930841292828
v2ddthrerf,0.16549664159334204,0.21403037746444165,-0.13430073264503012,0.5467336497881004
v2ddlexor,0.2517344393104327,0.0706252160502173,0.12281731985479345,0.3792119286219
v2ddthreor,0.15903867876809022,0.06004743059396381,0.0490920040336954,0.39357322836227276
v2ddlexpl,0.07477720863808782,-0.032516796829172676,0.4196857187498413,0.2445273211329757
v2ddthrepl,0.019649977529896015,0.001908606635858276,0.25598448537910107,0.28593301820934947
v2ddyrci,0.0738814495056122,0.14663099939394597,-0.1503139150154081,0.401850527900091
v2ddyrrf,0.08255479662964504,0.13141082935711126,-0.13931282220532937,0.3379212388612044
v2ddyror,0.0356651255567281,0.09140137671458573,-0.0778677682087369,0.30629851598574137
v2ddyrpl,0.004919360539747982,-0.010455997764583938,0.015667448485823667,0.11209651147809462
v2ddyrall,0.0780531276403435,0.1473908824442105,-0.14178335849303936,0.4827690336028833
