country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_truedom_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_truedom_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_truedom_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_truedom_3,nscm_resid_full_4,nscm_resid_domestic_4,nscm_resid_truedom_4
MNG,1990,-5.2934985e-05,-0.0009191821,-3.0019592e-07,-0.0013861285,-0.006291683,-1.7962062e-06,-0.9168442,-0.90114576,-0.033554513,-0.07681207,-0.08596273,-0.20507438,0.9950953,0.9943193,0.23863095
MOZ,1990,-6.2623386e-08,-4.3635002e-05,-6.115088e-09,-1.0139147e-06,-6.068609e-05,-1.7089332e-07,-0.010240785,-0.10813848,-0.008443966,0.012163579,0.11518937,0.08500135,-0.001921664,-0.006946616,-0.076557174
MUS,1990,-0.06947446,-0.16935128,-0.01566915,0.095789194,0.25651503,0.2169277,-0.026273755,-0.08674038,-0.20087124,-3.2538555e-05,-0.0003371045,-0.00030635254,-8.454274e-06,-8.627776e-05,-8.096196e-05
MWI,1990,-2.8741423e-10,-1.8747958e-06,-1.9255106e-11,-1.6254972e-10,-2.2374806e-07,-1.8588228e-11,-3.3385948e-06,-0.0009130627,-1.9213709e-05,-0.082357086,-0.28358012,-0.057840396,0.08236045,0.2844953,0.0578596
MYS,1990,-3.0263368e-06,-0.00015063977,-3.6569085e-07,-0.00024487198,-0.0014202239,-5.2808446e-05,0.3962797,0.38238025,0.3384831,-0.37852922,-0.3206659,-0.31920347,-0.01750259,-0.06014353,-0.019226406
NAM,1990,-0.0011551484,-0.009947139,-4.082741e-05,-0.78124815,-0.6708533,-0.35469103,0.78256,0.6845115,0.35510045,-0.00015087848,-0.0035315175,-0.00036294892,-5.8156256e-06,-0.00017951353,-5.7060265e-06
NER,1990,-4.3532104e-06,-0.00066093955,-6.39291e-06,-0.0028430037,-0.029005328,-0.01810942,-0.049218893,0.035188377,-0.018900096,0.05209768,-0.0048795827,0.03716512,-3.144059e-05,-0.00064258475,-0.00014920418
NGA,1990,-7.9578604e-07,-0.0008235514,-4.500271e-07,-0.0014280624,-0.0137632275,-0.02449959,0.006648481,0.07545036,0.029009521,-0.0052174893,-0.06076418,-0.0045087086,-2.1423837e-06,-9.9390614e-05,-8.6298684e-07
NIC,1990,-1.4002691e-05,-0.0025045034,-1.5081806e-05,-0.6974433,-0.727899,-0.91529036,0.6975157,0.73058623,0.91531646,-5.8233418e-05,-0.00018193369,-1.0927728e-05,-1.2138744e-07,-7.9504565e-07,-1.10650966e-07
NLD,1990,1.5258789e-05,0.0013914704,7.045269e-05,-1.1810153e-05,-0.0012416563,-6.995154e-05,-1.283691e-06,-0.00011747567,-1.0645983e-07,-2.4669606e-07,-3.6372157e-06,-3.718435e-08,-1.9380122e-06,-2.8740207e-05,-3.4257283e-07
